nb_compo_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_compo_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
2,0.42966160823303684,0.5510204081632653,8.315516471862793,0.9332914352416992,9.248807907104492,2,0.4174890613522403,0.5306122448979592,13.978019714355469,0.886873722076416,14.864893436431885,0.8333333333333334,0.8367346938775511,0.8650400638580322
3,0.4174890613522403,0.5306122448979592,8.288459062576294,0.9578762054443359,9.24633526802063,3,0.4414731409805301,0.5306122448979592,13.929569482803345,0.8813047409057617,14.810874223709106,0.8333333333333334,0.8367346938775511,0.8650400638580322
4,0.5193646136246539,0.5306122448979592,8.268507242202759,0.8654160499572754,9.133923292160034,4,0.657715717866094,0.673469387755102,13.94869875907898,0.8192822933197021,14.767981052398682,0.8333333333333334,0.8367346938775511,0.8650400638580322
5,0.5430029154518949,0.5510204081632653,8.14167857170105,0.9393129348754883,9.080991506576538,5,0.6633356790992259,0.673469387755102,14.1152503490448,0.8518121242523193,14.96706247329712,0.8333333333333334,0.8367346938775511,0.8650400638580322
6,0.7551020408163265,0.7551020408163265,8.170931816101074,0.7234032154083252,8.8943350315094,6,0.657715717866094,0.673469387755102,14.095088720321655,0.7679653167724609,14.863054037094116,0.8333333333333334,0.8367346938775511,0.8650400638580322
7,0.7743806956744962,0.7755102040816326,8.23064374923706,0.7261645793914795,8.95680832862854,7,0.7054187192118226,0.7142857142857143,14.105478763580322,0.6794674396514893,14.784946203231812,0.8333333333333334,0.8367346938775511,0.8650400638580322
8,0.816173277821767,0.8163265306122449,8.297597646713257,0.6384344100952148,8.936032056808472,8,0.816173277821767,0.8163265306122449,14.159791469573975,0.6155006885528564,14.775292158126831,0.8333333333333334,0.8367346938775511,0.8650400638580322
9,0.8363251655177122,0.8367346938775511,9.237948417663574,0.6572630405426025,9.895211458206177,9,0.816173277821767,0.8163265306122449,11.733985424041748,0.6225376129150391,12.356523036956787,0.8333333333333334,0.8367346938775511,0.8650400638580322
10,0.8154023873700423,0.8163265306122449,9.207472562789917,0.6420152187347412,9.849487781524658,10,0.816173277821767,0.8163265306122449,11.749416828155518,0.6337811946868896,12.383198022842407,0.8333333333333334,0.8367346938775511,0.8650400638580322
11,0.8154023873700423,0.8163265306122449,9.189091920852661,0.6542418003082275,9.843333721160889,11,0.816173277821767,0.8163265306122449,11.729910135269165,0.6335852146148682,12.363495349884033,0.8333333333333334,0.8367346938775511,0.8650400638580322
12,0.8154023873700423,0.8163265306122449,9.21281385421753,0.6527688503265381,9.865582704544067,12,0.816173277821767,0.8163265306122449,11.7033109664917,0.5849940776824951,12.288305044174194,0.8333333333333334,0.8367346938775511,0.8650400638580322
13,0.8154023873700423,0.8163265306122449,9.204163789749146,0.6635720729827881,9.867735862731934,13,0.8154023873700423,0.8163265306122449,11.733355045318604,0.6348743438720703,12.368229389190674,0.8333333333333334,0.8367346938775511,0.8650400638580322
14,0.8154023873700423,0.8163265306122449,9.188096761703491,0.6740961074829102,9.862192869186401,14,0.8154023873700423,0.8163265306122449,11.723980188369751,0.627765417098999,12.35174560546875,0.8333333333333334,0.8367346938775511,0.8650400638580322
15,0.8154023873700423,0.8163265306122449,9.200138330459595,0.7000503540039062,9.900188684463501,15,0.8154023873700423,0.8163265306122449,11.808086395263672,0.6367323398590088,12.44481873512268,0.8333333333333334,0.8367346938775511,0.8650400638580322
16,0.857023660528041,0.8571428571428571,9.255918979644775,0.6460762023925781,9.901995182037354,16,0.857023660528041,0.8571428571428571,11.703848123550415,0.5933444499969482,12.297192573547363,0.8333333333333334,0.8367346938775511,0.8650400638580322
