nb_sigma_lle,f1_scores_lle,accuracy_scores_lle,elapsed_clf_lle,elapsed_tot_lle,nb_sigma_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_clf_mlle,elapsed_tot_mlle,nb_sigma_raw,f1_scores_raw,accuracy_scores_raw,elapsed_tot_raw
1e-05,0.3333333333333333,0.5,4.187506675720215,69.20356130599976,1e-05,0.4566086395873631,0.5612244897959183,7.624979019165039,72.06248116493225,1e-05,0.7623115047980595,0.7653061224489796,6.29687762260437
0.0001,0.4181290407705502,0.5408163265306123,4.656272649765015,69.67232728004456,0.0001,0.6684491978609625,0.6836734693877551,7.874995231628418,72.31249737739563,0.0001,0.8156354515050167,0.8163265306122449,4.54687237739563
0.001,0.4181290407705502,0.5408163265306123,4.593714237213135,69.60976886749268,0.001,0.656140350877193,0.673469387755102,7.921874284744263,72.35937643051147,0.001,0.8056164526568536,0.8061224489795918,3.687507390975952
0.01,0.4181290407705502,0.5408163265306123,4.562502861022949,69.57855749130249,0.01,0.656140350877193,0.673469387755102,7.812499284744263,72.25000143051147,0.01,0.765281682807456,0.7653061224489796,4.0624916553497314
0.1,0.4181290407705502,0.5408163265306123,4.56249737739563,69.57855200767517,0.1,0.6684491978609625,0.6836734693877551,7.843793630599976,72.28129577636719,0.1,0.7403285638579755,0.7448979591836735,10.156264066696167
1.0,0.7442321745484914,0.7448979591836735,4.343751430511475,69.35980606079102,1.0,0.7623115047980595,0.7653061224489796,4.249952077865601,68.68745422363281,1.0,0.35064232589587563,0.5,5.968763828277588
10.0,0.7754166666666666,0.7755102040816326,3.35937237739563,68.37542700767517,10.0,0.7641025641025642,0.7653061224489796,3.2656338214874268,67.70313596725464,10.0,0.3333333333333333,0.5,7.921851634979248
100.0,0.7955778055903211,0.7959183673469388,3.0781285762786865,68.09418320655823,100.0,0.7641025641025642,0.7653061224489796,3.0624945163726807,67.49999666213989,100.0,0.3333333333333333,0.5,8.062499284744263
1000.0,0.8163265306122449,0.8163265306122449,3.2500336170196533,68.2660882472992,1000.0,0.7958333333333333,0.7959183673469388,3.1874966621398926,67.6249988079071,1000.0,0.3333333333333333,0.5,8.031245946884155
10000.0,0.8570833333333334,0.8571428571428571,3.796842336654663,68.8128969669342,10000.0,0.7549999999999999,0.7551020408163265,4.140658855438232,68.57816100120544,10000.0,0.3333333333333333,0.5,8.015627145767212
100000.0,0.836462244472257,0.8367346938775511,7.578151702880859,72.5942063331604,100000.0,0.6684989429175475,0.673469387755102,10.187469482421875,74.62497162818909,100000.0,0.3333333333333333,0.5,7.984375953674316
