nb_C_lle,f1_scores_lle,accuracy_scores_lle,elapsed_clf_lle,elapsed_tot_lle,nb_C_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_clf_mlle,elapsed_tot_mlle,nb_C_raw,f1_scores_raw,accuracy_scores_raw,elapsed_tot_raw
0.001,0.6797746478873238,0.7040816326530612,4.8124682903289795,71.71730303764343,0.001,0.7123689727463312,0.7142857142857143,4.937497854232788,71.85533165931702,0.001,0.75,0.7551020408163265,7.1455042362213135
0.005,0.7137293086660174,0.7244897959183674,4.515645980834961,71.42048072814941,0.005,0.70330932247625,0.7040816326530612,4.281247138977051,71.19908094406128,0.005,0.75,0.7551020408163265,7.562918186187744
0.01,0.7641025641025642,0.7653061224489796,4.124978065490723,71.02981281280518,0.01,0.7138089278264497,0.7142857142857143,3.8281543254852295,70.74598813056946,0.01,0.75,0.7551020408163265,6.93094801902771
0.05,0.8056164526568536,0.8061224489795918,3.7500011920928955,70.65483593940735,0.05,0.7242313705054716,0.7244897959183674,3.4374725818634033,70.35530638694763,0.05,0.7319023569023569,0.7346938775510204,6.858927011489868
0.1,0.8366666666666668,0.8367346938775511,3.609374761581421,70.51420950889587,0.1,0.7549999999999999,0.7551020408163265,3.312501907348633,70.23033571243286,0.1,0.7623115047980595,0.7653061224489796,7.002884387969971
0.5,0.8469228366135583,0.8469387755102041,3.703125,70.60795974731445,0.5,0.7751355861493535,0.7755102040816326,3.2187485694885254,70.13658237457275,0.5,0.8156354515050167,0.8163265306122449,5.43520450592041
1.0,0.8570833333333334,0.8571428571428571,3.890624761581421,70.79545950889587,1.0,0.805940594059406,0.8061224489795918,3.1874992847442627,70.10533308982849,1.0,0.8260778786929742,0.826530612244898,4.900653600692749
5.0,0.8367346938775511,0.8367346938775511,4.828121185302734,71.73295593261719,5.0,0.7751355861493535,0.7755102040816326,3.640655994415283,70.55848979949951,5.0,0.8056164526568536,0.8061224489795918,4.09123682975769
10.0,0.8265125481620329,0.826530612244898,5.546875715255737,72.45171046257019,10.0,0.7549999999999999,0.7551020408163265,3.921842575073242,70.83967638015747,10.0,0.7951505016722408,0.7959183673469388,4.040986776351929
50.0,0.8367346938775511,0.8367346938775511,9.718752384185791,76.62358713150024,50.0,0.7244611059044048,0.7244897959183674,5.562497138977051,72.48033094406128,50.0,0.7955778055903211,0.7959183673469388,3.853353500366211
100.0,0.8265125481620329,0.826530612244898,14.156251430511475,81.06108617782593,100.0,0.7244611059044048,0.7244897959183674,7.35937762260437,74.2772114276886,100.0,0.7855132881709224,0.7857142857142857,3.9911062717437744
500.0,0.7446586763939553,0.7448979591836735,38.81250047683716,105.71733522415161,500.0,0.7448713943559304,0.7448979591836735,17.500000476837158,84.41783428192139,500.0,0.7754166666666666,0.7755102040816326,5.821661472320557
1000.0,0.7345833333333333,0.7346938775510204,70.96874928474426,137.87358403205872,1000.0,0.7138089278264497,0.7142857142857143,30.000014066696167,96.9178478717804,1000.0,0.7754166666666666,0.7755102040816326,6.641833782196045
