nb_compo_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_compo_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
8,0.6918238993710691,0.6938775510204082,94.90669202804565,4.546874046325684,99.45356607437134,18,0.7855132881709224,0.7857142857142857,66.3309314250946,3.453127861022949,69.78405928611755,0.7578947368421053,0.7653061224489796,4.140625
9,0.7641025641025642,0.7653061224489796,70.95449876785278,3.8437511920928955,74.79824995994568,19,0.805940594059406,0.8061224489795918,69.23532843589783,3.734372615814209,72.96970105171204,0.7578947368421053,0.7653061224489796,4.140625
10,0.7959183673469388,0.7959183673469388,70.89502763748169,3.3749983310699463,74.27002596855164,20,0.7546933667083855,0.7551020408163265,70.37631273269653,4.062533140182495,74.43884587287903,0.7578947368421053,0.7653061224489796,4.140625
11,0.805940594059406,0.8061224489795918,72.21644520759583,3.515624523162842,75.73206973075867,21,0.7958333333333333,0.7959183673469388,74.71875262260437,3.453091859817505,78.17184448242188,0.7578947368421053,0.7653061224489796,4.140625
12,0.8163265306122449,0.8163265306122449,69.1875,3.4531290531158447,72.64062905311584,22,0.7751355861493535,0.7755102040816326,74.79896688461304,3.5625247955322266,78.36149168014526,0.7578947368421053,0.7653061224489796,4.140625
13,0.8163265306122449,0.8163265306122449,70.0160722732544,3.671872138977051,73.68794441223145,23,0.7751355861493535,0.7755102040816326,72.09374976158142,3.828111410140991,75.92186117172241,0.7578947368421053,0.7653061224489796,4.140625
14,0.7958333333333333,0.7959183673469388,70.81162619590759,3.421873092651367,74.23349928855896,24,0.785155026620733,0.7857142857142857,74.01562643051147,3.453119993209839,77.46874642372131,0.7578947368421053,0.7653061224489796,4.140625
15,0.7754166666666666,0.7755102040816326,68.0627760887146,3.6250076293945312,71.68778371810913,25,0.7650859822824386,0.7653061224489796,71.28124904632568,3.4687461853027344,74.74999523162842,0.7578947368421053,0.7653061224489796,4.140625
16,0.7855132881709224,0.7857142857142857,65.45313429832458,3.4062483310699463,68.85938262939453,26,0.7754166666666666,0.7755102040816326,73.6208245754242,3.4687702655792236,77.08959484100342,0.7578947368421053,0.7653061224489796,4.140625
17,0.7650859822824386,0.7653061224489796,66.52037072181702,3.6874921321868896,70.2078628540039,27,0.805940594059406,0.8061224489795918,71.96875143051147,3.5468552112579346,75.51560664176941,0.7578947368421053,0.7653061224489796,4.140625
18,0.7755102040816326,0.7755102040816326,64.02540254592896,4.265624761581421,68.29102730751038,28,0.7855132881709224,0.7857142857142857,70.92768096923828,3.3437466621398926,74.27142763137817,0.7578947368421053,0.7653061224489796,4.140625
