nb_neigh_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_neigh_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
1,0.6731972789115646,0.673469387755102,8.093750238418579,1.140620231628418,9.234370470046997,19,0.3129251700680273,0.46938775510204084,8.969203233718872,0.8125014305114746,9.781704664230347,0.8333333333333334,0.8367346938775511,1.062497854232788
2,0.6656948493683188,0.673469387755102,8.218752384185791,1.0937678813934326,9.312520265579224,20,0.4488036593947924,0.46938775510204084,9.204023361206055,1.2343738079071045,10.43839716911316,0.8333333333333334,0.8367346938775511,1.062497854232788
3,0.5326994434137291,0.5918367346938775,8.68797254562378,1.2031490802764893,9.891121625900269,21,0.8367346938775511,0.8367346938775511,10.265626192092896,0.812507152557373,11.078133344650269,0.8333333333333334,0.8367346938775511,1.062497854232788
4,0.7142857142857143,0.7142857142857143,8.874989986419678,0.9687070846557617,9.84369707107544,22,0.8154023873700423,0.8163265306122449,10.3133225440979,0.7656159400939941,11.078938484191895,0.8333333333333334,0.8367346938775511,1.062497854232788
5,0.7749482771832138,0.7755102040816326,8.851903915405273,0.9375052452087402,9.789409160614014,23,0.8772438741382841,0.8775510204081632,11.187841176986694,0.8125042915344238,12.000345468521118,0.8333333333333334,0.8367346938775511,1.062497854232788
6,0.6899943909910686,0.6938775510204082,9.593743085861206,0.8281216621398926,10.421864748001099,24,0.857023660528041,0.8571428571428571,9.546877384185791,0.7812447547912598,10.32812213897705,0.8333333333333334,0.8367346938775511,1.062497854232788
7,0.7054187192118226,0.7142857142857143,8.687503337860107,0.8281261920928955,9.515629529953003,25,0.8772438741382841,0.8775510204081632,9.844200849533081,0.7812540531158447,10.625454902648926,0.8333333333333334,0.8367346938775511,1.062497854232788
8,0.7283365207443697,0.7346938775510204,8.484371423721313,0.7968714237213135,9.281242847442627,26,0.857023660528041,0.8571428571428571,10.110053777694702,0.7812497615814209,10.891303539276123,0.8333333333333334,0.8367346938775511,1.062497854232788
9,0.7507288629737607,0.7551020408163265,9.343754291534424,0.7812528610229492,10.125007152557373,27,0.8367346938775511,0.8367346938775511,10.328126907348633,0.7656254768371582,11.093752384185791,0.8333333333333334,0.8367346938775511,1.062497854232788
10,0.8154023873700423,0.8163265306122449,8.968747854232788,0.7812507152557373,9.749998569488525,28,0.816326530612245,0.8163265306122449,10.859379291534424,0.7812764644622803,11.640655755996704,0.8333333333333334,0.8367346938775511,1.062497854232788
