nb_compo_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_compo_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
1,0.4548104956268222,0.5510204081632653,3.765617609024048,1.1562449932098389,4.921862602233887,1,0.3447324875896305,0.5102040816326531,4.781236410140991,0.7031116485595703,5.4843480587005615,0.888888888888889,0.8979591836734694,1.203141689300537
2,0.335476656415991,0.4897959183673469,5.437502384185791,0.750028133392334,6.187530517578125,2,0.3447324875896305,0.5102040816326531,6.531249046325684,0.7187588214874268,7.25000786781311,0.888888888888889,0.8979591836734694,1.203141689300537
3,0.335476656415991,0.4897959183673469,7.861580848693848,0.9374747276306152,8.799055576324463,3,0.4174890613522403,0.5306122448979592,8.484380006790161,1.0937438011169434,9.578123807907104,0.888888888888889,0.8979591836734694,1.203141689300537
4,0.4872288538056732,0.4897959183673469,9.113631963729858,1.093766689300537,10.207398653030396,4,0.4174890613522403,0.5306122448979592,9.484374046325684,1.046875,10.531249046325684,0.888888888888889,0.8979591836734694,1.203141689300537
5,0.6149301825993555,0.6326530612244898,8.266493082046509,1.0312590599060059,9.297752141952515,5,0.4414731409805301,0.5306122448979592,9.156250953674316,1.218752384185791,10.375003337860107,0.888888888888889,0.8979591836734694,1.203141689300537
6,0.5845481049562682,0.5918367346938775,9.312501668930054,0.9531693458557129,10.265671014785767,6,0.4931972789115647,0.5510204081632653,10.046887636184692,1.0468862056732178,11.09377384185791,0.888888888888889,0.8979591836734694,1.203141689300537
7,0.6295609152752009,0.6326530612244898,9.687504768371582,0.937457799911499,10.624962568283081,7,0.7701309021683129,0.7755102040816326,10.421884775161743,0.7968933582305908,11.218778133392334,0.888888888888889,0.8979591836734694,1.203141689300537
8,0.8363251655177122,0.8367346938775511,10.81249451637268,0.8750002384185791,11.68749475479126,8,0.7942005084862227,0.7959183673469388,11.343724966049194,0.7343416213989258,12.07806658744812,0.888888888888889,0.8979591836734694,1.203141689300537
9,0.7959183673469388,0.7959183673469388,8.000006914138794,0.9218966960906982,8.921903610229492,9,0.7942005084862227,0.7959183673469388,8.718751668930054,0.7812685966491699,9.500020265579224,0.888888888888889,0.8979591836734694,1.203141689300537
10,0.8367346938775511,0.8367346938775511,8.031241178512573,0.9843530654907227,9.015594244003296,10,0.857023660528041,0.8571428571428571,8.749998569488525,0.750018835067749,9.500017404556274,0.888888888888889,0.8979591836734694,1.203141689300537
