nb_sigma_lle,f1_scores_lle,accuracy_scores_lle,elapsed_clf_lle,elapsed_tot_lle,nb_sigma_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_clf_mlle,elapsed_tot_mlle,nb_sigma_raw,f1_scores_raw,accuracy_scores_raw,elapsed_tot_raw
1000.0,0.8163265306122449,0.8163265306122449,3.531233787536621,66.65622138977051,100.0,0.7641025641025642,0.7653061224489796,3.1874892711639404,70.26840448379517,1e-05,0.7623115047980595,0.7653061224489796,6.317603349685669
1274.2749857031336,0.8061022597105071,0.8061224489795918,3.390624523162842,66.51561212539673,127.42749857031335,0.7641025641025642,0.7653061224489796,3.1093757152557373,70.19029092788696,1.2742749857031348e-05,0.7829800695982284,0.7857142857142857,6.5021679401397705
1623.776739188721,0.8163265306122449,0.8163265306122449,3.3593831062316895,66.48437070846558,162.3776739188721,0.7846153846153845,0.7857142857142857,3.1406242847442627,70.22153949737549,1.623776739188721e-05,0.7829800695982284,0.7857142857142857,6.799730539321899
2069.13808111479,0.8163265306122449,0.8163265306122449,3.390625238418579,66.51561284065247,206.913808111479,0.7951505016722408,0.7959183673469388,3.0937843322753906,70.17469954490662,2.06913808111479e-05,0.7937710437710439,0.7959183673469388,5.896027326583862
2636.650898730358,0.8265125481620329,0.826530612244898,3.4999992847442627,66.62498688697815,263.6650898730358,0.7751355861493535,0.7755102040816326,3.0624661445617676,70.143381357193,2.6366508987303556e-05,0.805128205128205,0.8061224489795918,5.488624811172485
3359.818286283781,0.8265125481620329,0.826530612244898,3.4687507152557373,66.59373831748962,335.9818286283781,0.785155026620733,0.7857142857142857,3.0781519412994385,70.15906715393066,3.359818286283781e-05,0.805128205128205,0.8061224489795918,5.093750476837158
4281.332398719395,0.8163265306122449,0.8163265306122449,3.625011444091797,66.74999904632568,428.13323987193957,0.785155026620733,0.7857142857142857,3.0624725818634033,70.14338779449463,4.281332398719396e-05,0.8156354515050167,0.8163265306122449,4.998549938201904
5455.59478116852,0.8367346938775511,0.8367346938775511,3.765626907348633,66.89061450958252,545.559478116852,0.805940594059406,0.8061224489795918,3.140625238418579,70.2215404510498,5.4555947811685143e-05,0.8260778786929742,0.826530612244898,4.799137115478516
6951.927961775606,0.8469228366135583,0.8469387755102041,3.8437564373016357,66.96874403953552,695.1927961775606,0.805940594059406,0.8061224489795918,3.1250007152557373,70.20591592788696,6.951927961775606e-05,0.8260778786929742,0.826530612244898,4.578124761581421
8858.667904100823,0.8570833333333334,0.8571428571428571,3.92185378074646,67.04684138298035,885.8667904100823,0.7958333333333333,0.7959183673469388,3.2343757152557373,70.31529092788696,8.858667904100833e-05,0.8260778786929742,0.826530612244898,4.595430135726929
11288.378916846883,0.8469228366135583,0.8469387755102041,4.015647888183594,67.14063549041748,1128.8378916846884,0.7856919712589815,0.7857142857142857,3.2968697547912598,70.37778496742249,0.00011288378916846884,0.8260778786929742,0.826530612244898,5.157283782958984
14384.498882876629,0.8367346938775511,0.8367346938775511,4.109351634979248,67.23433923721313,1438.449888287663,0.7755102040816326,0.7755102040816326,3.4375038146972656,70.51841902732849,0.0001438449888287663,0.8156354515050167,0.8163265306122449,5.287641286849976
18329.807108324374,0.8366666666666668,0.8367346938775511,4.156264543533325,67.28125214576721,1832.9807108324355,0.7755102040816326,0.7755102040816326,3.468749761581421,70.54966497421265,0.00018329807108324357,0.8156354515050167,0.8163265306122449,4.566555738449097
23357.21469090121,0.8366666666666668,0.8367346938775511,4.28124475479126,67.40623235702515,2335.7214690901214,0.7754166666666666,0.7755102040816326,3.6093764305114746,70.6902916431427,0.00023357214690901214,0.8156354515050167,0.8163265306122449,4.608661890029907
29763.51441631319,0.846795205836373,0.8469387755102041,4.437499761581421,67.56248736381531,2976.351441631319,0.7754166666666666,0.7755102040816326,3.718750238418579,70.7996654510498,0.00029763514416313193,0.8056164526568536,0.8061224489795918,5.116652488708496
37926.901907322535,0.8569044639132248,0.8571428571428571,4.562498569488525,67.68748617172241,3792.69019073225,0.7551020408163265,0.7551020408163265,3.906259298324585,70.98717451095581,0.000379269019073225,0.8056164526568536,0.8061224489795918,4.906245231628418
48329.30238571752,0.8569044639132248,0.8571428571428571,4.781250238418579,67.90623784065247,4832.930238571752,0.7551020408163265,0.7551020408163265,4.03123927116394,71.11215448379517,0.0004832930238571752,0.8056164526568536,0.8061224489795918,4.390629768371582
61584.82110660255,0.836462244472257,0.8367346938775511,4.968751430511475,68.09373903274536,6158.48211066026,0.7448713943559304,0.7448979591836735,4.09375,71.17466521263123,0.0006158482110660261,0.8056164526568536,0.8061224489795918,4.640624046325684
78475.99703514607,0.836462244472257,0.8367346938775511,5.281249523162842,68.40623712539673,7847.5997035146065,0.7549999999999999,0.7551020408163265,4.2656495571136475,71.34656476974487,0.0007847599703514606,0.8056164526568536,0.8061224489795918,3.9843873977661133
100000.0,0.836462244472257,0.8367346938775511,7.656260013580322,70.78124761581421,10000.0,0.7549999999999999,0.7551020408163265,4.406225919723511,71.48714113235474,0.001,0.8056164526568536,0.8061224489795918,4.1406121253967285
